experiment_id,arm,record,seed,macro_f1_present,source_change,used_bytes,replay_items
E16,A0,100,42,0.82702,0.0,0,0
E16,A0,100,43,0.82702,0.0,0,0
E16,A0,100,44,0.82702,0.0,0,0
E16,A0,100,45,0.82702,0.0,0,0
E16,A0,100,46,0.82702,0.0,0,0
E16,A0,103,42,0.499684,0.0,0,0
E16,A0,103,43,0.499684,0.0,0,0
E16,A0,103,44,0.499684,0.0,0,0
E16,A0,103,45,0.499684,0.0,0,0
E16,A0,103,46,0.499684,0.0,0,0
E16,A0,105,42,0.658704,0.0,0,0
E16,A0,105,43,0.658704,0.0,0,0
E16,A0,105,44,0.658704,0.0,0,0
E16,A0,105,45,0.658704,0.0,0,0
E16,A0,105,46,0.658704,0.0,0,0
E16,A0,111,42,0.473182,0.0,0,0
E16,A0,111,43,0.473182,0.0,0,0
E16,A0,111,44,0.473182,0.0,0,0
E16,A0,111,45,0.473182,0.0,0,0
E16,A0,111,46,0.473182,0.0,0,0
E16,A0,113,42,0.642081,0.0,0,0
E16,A0,113,43,0.642081,0.0,0,0
E16,A0,113,44,0.642081,0.0,0,0
E16,A0,113,45,0.642081,0.0,0,0
E16,A0,113,46,0.642081,0.0,0,0
E16,A0,117,42,0.206313,0.0,0,0
E16,A0,117,43,0.206313,0.0,0,0
E16,A0,117,44,0.206313,0.0,0,0
E16,A0,117,45,0.206313,0.0,0,0
E16,A0,117,46,0.206313,0.0,0,0
E16,A0,121,42,0.666544,0.0,0,0
E16,A0,121,43,0.666544,0.0,0,0
E16,A0,121,44,0.666544,0.0,0,0
E16,A0,121,45,0.666544,0.0,0,0
E16,A0,121,46,0.666544,0.0,0,0
E16,A0,123,42,0.999506,0.0,0,0
E16,A0,123,43,0.999506,0.0,0,0
E16,A0,123,44,0.999506,0.0,0,0
E16,A0,123,45,0.999506,0.0,0,0
E16,A0,123,46,0.999506,0.0,0,0
E16,A0,200,42,0.7504,0.0,0,0
E16,A0,200,43,0.7504,0.0,0,0
E16,A0,200,44,0.7504,0.0,0,0
E16,A0,200,45,0.7504,0.0,0,0
E16,A0,200,46,0.7504,0.0,0,0
E16,A0,210,42,0.595096,0.0,0,0
E16,A0,210,43,0.595096,0.0,0,0
E16,A0,210,44,0.595096,0.0,0,0
E16,A0,210,45,0.595096,0.0,0,0
E16,A0,210,46,0.595096,0.0,0,0
E16,A0,212,42,0.998662,0.0,0,0
E16,A0,212,43,0.998662,0.0,0,0
E16,A0,212,44,0.998662,0.0,0,0
E16,A0,212,45,0.998662,0.0,0,0
E16,A0,212,46,0.998662,0.0,0,0
E16,A0,213,42,0.367682,0.0,0,0
E16,A0,213,43,0.367682,0.0,0,0
E16,A0,213,44,0.367682,0.0,0,0
E16,A0,213,45,0.367682,0.0,0,0
E16,A0,213,46,0.367682,0.0,0,0
E16,A0,214,42,0.892595,0.0,0,0
E16,A0,214,43,0.892595,0.0,0,0
E16,A0,214,44,0.892595,0.0,0,0
E16,A0,214,45,0.892595,0.0,0,0
E16,A0,214,46,0.892595,0.0,0,0
E16,A0,219,42,0.426719,0.0,0,0
E16,A0,219,43,0.426719,0.0,0,0
E16,A0,219,44,0.426719,0.0,0,0
E16,A0,219,45,0.426719,0.0,0,0
E16,A0,219,46,0.426719,0.0,0,0
E16,A0,221,42,0.999074,0.0,0,0
E16,A0,221,43,0.999074,0.0,0,0
E16,A0,221,44,0.999074,0.0,0,0
E16,A0,221,45,0.999074,0.0,0,0
E16,A0,221,46,0.999074,0.0,0,0
E16,A0,222,42,0.692089,0.0,0,0
E16,A0,222,43,0.692089,0.0,0,0
E16,A0,222,44,0.692089,0.0,0,0
E16,A0,222,45,0.692089,0.0,0,0
E16,A0,222,46,0.692089,0.0,0,0
E16,A0,228,42,0.625368,0.0,0,0
E16,A0,228,43,0.625368,0.0,0,0
E16,A0,228,44,0.625368,0.0,0,0
E16,A0,228,45,0.625368,0.0,0,0
E16,A0,228,46,0.625368,0.0,0,0
E16,A0,231,42,0.997654,0.0,0,0
E16,A0,231,43,0.997654,0.0,0,0
E16,A0,231,44,0.997654,0.0,0,0
E16,A0,231,45,0.997654,0.0,0,0
E16,A0,231,46,0.997654,0.0,0,0
E16,A0,232,42,0.187375,0.0,0,0
E16,A0,232,43,0.187375,0.0,0,0
E16,A0,232,44,0.187375,0.0,0,0
E16,A0,232,45,0.187375,0.0,0,0
E16,A0,232,46,0.187375,0.0,0,0
E16,A0,233,42,0.761214,0.0,0,0
E16,A0,233,43,0.761214,0.0,0,0
E16,A0,233,44,0.761214,0.0,0,0
E16,A0,233,45,0.761214,0.0,0,0
E16,A0,233,46,0.761214,0.0,0,0
E16,A0,234,42,0.72661,0.0,0,0
