experiment_id,arm,record,seed,macro_f1_present,source_change,used_bytes,replay_items
E17,A0,100,42,0.827017,0.0,0,0
E17,A0,100,43,0.827017,0.0,0,0
E17,A0,100,44,0.827017,0.0,0,0
E17,A0,100,45,0.827017,0.0,0,0
E17,A0,100,46,0.827017,0.0,0,0
E17,A0,103,42,0.499683,0.0,0,0
E17,A0,103,43,0.499683,0.0,0,0
E17,A0,103,44,0.499683,0.0,0,0
E17,A0,103,45,0.499683,0.0,0,0
E17,A0,103,46,0.499683,0.0,0,0
E17,A0,105,42,0.658674,0.0,0,0
E17,A0,105,43,0.658674,0.0,0,0
E17,A0,105,44,0.658674,0.0,0,0
E17,A0,105,45,0.658674,0.0,0,0
E17,A0,105,46,0.658674,0.0,0,0
E17,A0,111,42,0.473118,0.0,0,0
E17,A0,111,43,0.473118,0.0,0,0
E17,A0,111,44,0.473118,0.0,0,0
E17,A0,111,45,0.473118,0.0,0,0
E17,A0,111,46,0.473118,0.0,0,0
E17,A0,113,42,0.642079,0.0,0,0
E17,A0,113,43,0.642079,0.0,0,0
E17,A0,113,44,0.642079,0.0,0,0
E17,A0,113,45,0.642079,0.0,0,0
E17,A0,113,46,0.642079,0.0,0,0
E17,A0,117,42,0.206019,0.0,0,0
E17,A0,117,43,0.206019,0.0,0,0
E17,A0,117,44,0.206019,0.0,0,0
E17,A0,117,45,0.206019,0.0,0,0
E17,A0,117,46,0.206019,0.0,0,0
E17,A0,121,42,0.666544,0.0,0,0
E17,A0,121,43,0.666544,0.0,0,0
E17,A0,121,44,0.666544,0.0,0,0
E17,A0,121,45,0.666544,0.0,0,0
E17,A0,121,46,0.666544,0.0,0,0
E17,A0,123,42,0.999505,0.0,0,0
E17,A0,123,43,0.999505,0.0,0,0
E17,A0,123,44,0.999505,0.0,0,0
E17,A0,123,45,0.999505,0.0,0,0
E17,A0,123,46,0.999505,0.0,0,0
E17,A0,200,42,0.750381,0.0,0,0
E17,A0,200,43,0.750381,0.0,0,0
E17,A0,200,44,0.750381,0.0,0,0
E17,A0,200,45,0.750381,0.0,0,0
E17,A0,200,46,0.750381,0.0,0,0
E17,A0,210,42,0.595157,0.0,0,0
E17,A0,210,43,0.595157,0.0,0,0
E17,A0,210,44,0.595157,0.0,0,0
E17,A0,210,45,0.595157,0.0,0,0
E17,A0,210,46,0.595157,0.0,0,0
E17,A0,212,42,0.99866,0.0,0,0
E17,A0,212,43,0.99866,0.0,0,0
E17,A0,212,44,0.99866,0.0,0,0
E17,A0,212,45,0.99866,0.0,0,0
E17,A0,212,46,0.99866,0.0,0,0
E17,A0,213,42,0.367538,0.0,0,0
E17,A0,213,43,0.367538,0.0,0,0
E17,A0,213,44,0.367538,0.0,0,0
E17,A0,213,45,0.367538,0.0,0,0
E17,A0,213,46,0.367538,0.0,0,0
E17,A0,214,42,0.892575,0.0,0,0
E17,A0,214,43,0.892575,0.0,0,0
E17,A0,214,44,0.892575,0.0,0,0
E17,A0,214,45,0.892575,0.0,0,0
E17,A0,214,46,0.892575,0.0,0,0
E17,A0,219,42,0.426601,0.0,0,0
E17,A0,219,43,0.426601,0.0,0,0
E17,A0,219,44,0.426601,0.0,0,0
E17,A0,219,45,0.426601,0.0,0,0
E17,A0,219,46,0.426601,0.0,0,0
E17,A0,221,42,0.999072,0.0,0,0
E17,A0,221,43,0.999072,0.0,0,0
E17,A0,221,44,0.999072,0.0,0,0
E17,A0,221,45,0.999072,0.0,0,0
E17,A0,221,46,0.999072,0.0,0,0
E17,A0,222,42,0.691985,0.0,0,0
E17,A0,222,43,0.691985,0.0,0,0
E17,A0,222,44,0.691985,0.0,0,0
E17,A0,222,45,0.691985,0.0,0,0
E17,A0,222,46,0.691985,0.0,0,0
E17,A0,228,42,0.625196,0.0,0,0
E17,A0,228,43,0.625196,0.0,0,0
E17,A0,228,44,0.625196,0.0,0,0
E17,A0,228,45,0.625196,0.0,0,0
E17,A0,228,46,0.625196,0.0,0,0
E17,A0,231,42,0.997649,0.0,0,0
E17,A0,231,43,0.997649,0.0,0,0
E17,A0,231,44,0.997649,0.0,0,0
E17,A0,231,45,0.997649,0.0,0,0
E17,A0,231,46,0.997649,0.0,0,0
E17,A0,232,42,0.187759,0.0,0,0
E17,A0,232,43,0.187759,0.0,0,0
E17,A0,232,44,0.187759,0.0,0,0
E17,A0,232,45,0.187759,0.0,0,0
E17,A0,232,46,0.187759,0.0,0,0
E17,A0,233,42,0.761196,0.0,0,0
E17,A0,233,43,0.761196,0.0,0,0
E17,A0,233,44,0.761196,0.0,0,0
E17,A0,233,45,0.761196,0.0,0,0
E17,A0,233,46,0.761196,0.0,0,0
E17,A0,234,42,0.726604,0.0,0,0
E17,A0,234,43,0.726604,0.0,0,0
E17,A0,234,44,0.726604,0.0,0,0
E17,A0,234,45,0.726604,0.0,0,0
E17,A0,234,46,0.726604,0.0,0,0
E17,A1,100,42,0.966841,-0.0289,16374,705
E17,A1,100,43,0.966841,-0.0307,16374,705
E17,A1,100,44,0.966841,-0.045,16374,705
E17,A1,100,45,0.973976,-0.0506,16374,705
E17,A1,100,46,0.973976,-0.0371,16374,705
E17,A1,103,42,0.499207,-0.0263,16374,705
E17,A1,103,43,0.499524,-0.0193,16374,705
E17,A1,103,44,0.499365,-0.0445,16374,705
E17,A1,103,45,0.499365,-0.0303,16374,705
E17,A1,103,46,0.499524,-0.0266,16374,705
E17,A1,105,42,0.653836,-0.0338,16374,705
E17,A1,105,43,0.640123,-0.0109,16374,705
E17,A1,105,44,0.658186,-0.0338,16374,705
E17,A1,105,45,0.66905,-0.0221,16374,705
E17,A1,105,46,0.642753,-0.01,16374,705
E17,A1,111,42,0.522468,-0.02,16374,705
E17,A1,111,43,0.524099,-0.0177,16374,705
E17,A1,111,44,0.555556,-0.0499,16374,705
E17,A1,111,45,0.562771,-0.0244,16374,705
E17,A1,111,46,0.524516,-0.0263,16374,705
E17,A1,113,42,0.899806,-0.0307,16374,705
E17,A1,113,43,0.899806,-0.0175,16374,705
E17,A1,113,44,0.749222,-0.0432,16374,705
E17,A1,113,45,0.749222,-0.0309,16374,705
E17,A1,113,46,0.899806,-0.0309,16374,705
E17,A1,117,42,1.0,-0.0362,16374,705
E17,A1,117,43,0.999026,-0.0232,16374,705
E17,A1,117,44,0.998294,-0.0449,16374,705
E17,A1,117,45,0.999514,-0.0375,16374,705
E17,A1,117,46,0.999757,-0.0352,16374,705
E17,A1,121,42,0.888766,-0.0312,16374,705
E17,A1,121,43,0.666421,-0.0234,16374,705
E17,A1,121,44,0.999877,-0.0376,16374,705
E17,A1,121,45,0.666421,-0.0247,16374,705
E17,A1,121,46,0.666421,-0.0249,16374,705
E17,A1,123,42,0.999505,-0.0469,16374,705
E17,A1,123,43,0.999505,-0.0207,16374,705
E17,A1,123,44,0.999505,-0.0492,16374,705
E17,A1,123,45,0.999505,-0.0426,16374,705
E17,A1,123,46,0.999505,-0.0307,16374,705
E17,A1,200,42,0.758189,-0.0186,16374,705
E17,A1,200,43,0.751977,-0.0082,16374,705
E17,A1,200,44,0.767257,-0.013,16374,705
E17,A1,200,45,0.742503,-0.0135,16374,705
E17,A1,200,46,0.742025,-0.0143,16374,705
