comparison,delta,power,holm_alpha
A4_vs_A3,0.025,0.918,0.01667
A4_vs_A3,0.03,0.923,0.01667
A4_vs_A3,0.035,0.9224,0.01667
A4_vs_A3,0.04,0.9274,0.01667
A4_vs_A3,0.045,0.9273,0.01667
A4_vs_A3,0.05,0.9283,0.01667
A4_vs_A3,0.055,0.9255,0.01667
A4_vs_A3,0.06,0.9278,0.01667
A4_vs_A3,0.065,0.9337,0.01667
A4_vs_A3,0.07,0.9314,0.01667
A4_vs_A3,0.075,0.9439,0.01667
A4_vs_A3,0.08,0.9447,0.01667
A4_vs_A3,0.085,0.9553,0.01667
A4_vs_A3,0.09,0.9545,0.01667
A4_vs_A3,0.095,0.9638,0.01667
A4_vs_A3,0.1,0.9891,0.01667
A4_vs_A3,0.105,0.9928,0.01667
A4_vs_A3,0.11,0.9922,0.01667
A4_vs_A3,0.115,0.999,0.01667
A4_vs_A3,0.12,1.0,0.01667
A4_vs_A3,0.125,1.0,0.01667
A4_vs_A3,0.13,1.0,0.01667
A4_vs_A3,0.135,1.0,0.01667
A4_vs_A3,0.14,1.0,0.01667
A4_vs_A3,0.145,1.0,0.01667
A4_vs_A3,0.15,1.0,0.01667
A4_vs_A3,0.155,1.0,0.01667
A4_vs_A3,0.16,1.0,0.01667
A4_vs_A3,0.165,1.0,0.01667
A4_vs_A3,0.17,1.0,0.01667
A4_vs_A3,0.175,1.0,0.01667
A4_vs_A3,0.18,1.0,0.01667
A4_vs_A3,0.185,1.0,0.01667
A4_vs_A3,0.19,1.0,0.01667
A4_vs_A3,0.195,1.0,0.01667
A4_vs_A3,0.2,1.0,0.01667
A4_vs_A0,0.0,0.0797,0.00833
A4_vs_A0,0.005,0.0989,0.00833
A4_vs_A0,0.01,0.1467,0.00833
A4_vs_A0,0.015,0.1459,0.00833
A4_vs_A0,0.02,0.1863,0.00833
A4_vs_A0,0.025,0.3414,0.00833
A4_vs_A0,0.03,0.3347,0.00833
A4_vs_A0,0.035,0.4023,0.00833
A4_vs_A0,0.04,0.8072,0.00833
A4_vs_A0,0.045,0.9418,0.00833
A4_vs_A0,0.05,0.9396,0.00833
A4_vs_A0,0.055,1.0,0.00833
A4_vs_A0,0.06,1.0,0.00833
A4_vs_A0,0.065,1.0,0.00833
A4_vs_A0,0.07,1.0,0.00833
A4_vs_A0,0.075,1.0,0.00833
A4_vs_A0,0.08,1.0,0.00833
A4_vs_A0,0.085,1.0,0.00833
A4_vs_A0,0.09,1.0,0.00833
A4_vs_A0,0.095,1.0,0.00833
A4_vs_A0,0.1,1.0,0.00833
A4_vs_A0,0.105,1.0,0.00833
A4_vs_A0,0.11,1.0,0.00833
A4_vs_A0,0.115,1.0,0.00833
A4_vs_A0,0.12,1.0,0.00833
A4_vs_A0,0.125,1.0,0.00833
A4_vs_A0,0.13,1.0,0.00833
A4_vs_A0,0.135,1.0,0.00833
A4_vs_A0,0.14,1.0,0.00833
A4_vs_A0,0.145,1.0,0.00833
A4_vs_A0,0.15,1.0,0.00833
A4_vs_A0,0.155,1.0,0.00833
A4_vs_A0,0.16,1.0,0.00833
A4_vs_A0,0.165,1.0,0.00833
A4_vs_A0,0.17,1.0,0.00833
A4_vs_A0,0.175,1.0,0.00833
A4_vs_A0,0.18,1.0,0.00833
A4_vs_A0,0.185,1.0,0.00833
A4_vs_A0,0.19,1.0,0.00833
A4_vs_A0,0.195,1.0,0.00833
A4_vs_A0,0.2,1.0,0.00833
A5_vs_A0,0.0,0.1319,0.01
A5_vs_A0,0.005,0.1319,0.01
A5_vs_A0,0.01,0.138,0.01
A5_vs_A0,0.015,0.1499,0.01
