comparison,n,median_difference,mean_difference,p_wilcoxon,p_holm,ci90_bca_low,ci90_bca_high,equivalent
A4_vs_A1,20,0.0006,0.0243,0.035157,0.13868,0.0,0.0198,True
A5_vs_A1,20,0.0024,0.0254,0.043733,0.13868,0.0,0.0255,False
A4_vs_A2,20,0.0038,0.0189,0.084017,0.13868,0.0,0.015,True
A4_vs_A3,20,0.0037,0.0432,0.03467,0.13868,0.0002,0.0351,False
A4_vs_A0,20,0.0382,0.111,0.001931,0.011586,0.0005,0.1188,False
A5_vs_A0,20,0.0332,0.1122,0.005684,0.028422,0.0009,0.1201,False
